names,quantity
LUNA,143 
CHARLIE,116 
BELLA,85 
SHADOW,85 
LUCY,79 
COCO,72 
LEO,72 
MOLLY,68 
SMOKEY,64 
DAISY,60 
LILY,60 
OLIVER,60 
TIGER,60 
MAX,59 
SIMBA,59 
JACK,57 
CLEO,55 
BUDDY,54 
MILO,54 
OREO,54 
LUCKY,53 
PEPPER,52 
GINGER,49 
LOLA,49 
FELIX,48 
TIGGER,47 
MISTY,45 
PRINCESS,45 
MIA,44 
ROSIE,43 
MINNIE,42 
BABY,41 
GEORGE,41 
KITTY,41 
OSCAR,41 
SAM,41 
SIMON,40 
CHLOE,39 
LOKI,38 
PUMPKIN,38 
SOPHIE,38 
TOBY,38 
FLUFFY,37 
STELLA,36 
WILLOW,36 
BOOTS,35 
GRACIE,35 
NALA,34 
MAGGIE,33 
MIDNIGHT,33 
COOKIE,32 
MISSY,32 
CALLIE,31 
MIMI,31 
ANGEL,30 
KIKI,30 
LULU,30 
SMUDGE,30 
TOMMY,30 
PATCHES,29 
RUBY,29 
SADIE,29 
JASPER,28 
TEDDY,27 
ZOE,27 
BOO,26 
PENNY,26 
ARCHIE,25 
OLLIE,25 
CHESTER,24 
FRANKIE,24 
GARFIELD,24 
MITTENS,24 
OLIVE,24 
PENELOPE,24 
PRINCE,24 
ROCKY,24 
GIZMO,23 
HENRY,23 
JOEY,23 
MILLIE,23 
MONTY,23 
POPPY,23 
SALEM,23 
SAMMY,23 
SYLVESTER,23 
GIGI,22 
PIPER,22 
ASH,21 
BEAR,21 
MUFFIN,21 
WINSTON,21 
BLACKIE,20 
BLUE,20 
MOCHA,20 
PEACHES,20 
PRECIOUS,20 
SUGAR,20 
ABBY,19 
AMBER,19 
BANDIT,19 
CALI,19 
EMMA,19 
HARRY,19 
HOLLY,19 
MOMO,19 
PHOEBE,19 
SASHA,19 
ATHENA,18 
HAZEL,18 
MOCHI,18 
ZEUS,18 
ZIGGY,18 
ALICE,17 
BELLE,17 
BUSTER,17 
DUSTY,17 
HARLEY,17 
IVY,17 
JACKSON,17 
MANGO,17 
MARLEY,17 
PEANUT,17 
PERCY,17 
RUSTY,17 
THEO,17 
TOM,17 
BAILEY,16 
BILLY,16 
BOB,16 
CHARLOTTE,16 
CRICKET,16 
DEXTER,16 
HONEY,16 
KIWI,16 
LILLY,16 
MAYA,16 
MISHA,16 
PANDA,16 
ROMEO,16 
STORM,16 
SUSHI,16 
WHISKEY,16 
BUBBLES,15 
FINN,15 
GUS,15 
JASMINE,15 
LADY,15 
MICKEY,15 
ROXY,15 
TABITHA,15 
WINNIE,15 
ZOEY,15 
ARTEMIS,14 
BONNIE,14 
BOWIE,14 
BRUCE,14 
BUTTERCUP,14 
