,AnimalName,AnimalGender,AnimalBirthMonth,BreedName,Borough,ZipCode
0,SHADOW ,M,01/01/2000,eskimo_dog,Brooklyn,11236.0
1,ROCCO,M,10/01/2011,saluki,Brooklyn,11210.0
2,LUIGI,M,09/01/2005,tibetan_terrier,Bronx,10464.0
3,PETUNIA,F,08/01/2013,wire-haired_fox_terrier,Brooklyn,11221.0
4,ROMEO,M,10/01/2008,miniature_schnauzer,Bronx,10451.0
5,BRANDY ,M,01/01/2004,bedlington_terrier,Brooklyn,11225.0
6,SAM,M,05/01/2011,newfoundland,Manhattan,10021.0
7,MAY ,F,05/01/2004,irish_wolfhound,Staten Island,10305.0
8,RUBY,F,04/01/2010,boston_bull,Brooklyn,11220.0
9,LEO,M,01/01/2014,collie,Bronx,10468.0
10,SOPHIE,F,08/01/2011,dhole,Manhattan,10003.0
11,ROSITA ,F,04/01/2014,border_collie,Queens,11103.0
12,KC,F,07/01/2014,giant_schnauzer,Queens,11417.0
13,CODY ,M,12/01/2012,german_short-haired_pointer,Bronx,10465.0
14,FRANK,M,04/01/2013,boxer,Queens,11429.0
15,MONA,F,02/01/2013,collie,Queens,11101.0
16,LADY ,F,10/01/2004,old_english_sheepdog,Bronx,10473.0
17,BAILEY ,M,04/01/2006,pomeranian,Bronx,10463.0
18,ANGEL,M,11/01/2003,english_springer,Bronx,10455.0
19,ZACK,M,04/01/2011,appenzeller,Bronx,10473.0
20,SARA ,F,07/01/2010,west_highland_white_terrier,Bronx,10463.0
21,BLUE ,M,01/01/2004,blenheim_spaniel,Brooklyn,11206.0
22,POGI,F,07/01/2009,cairn,Bronx,10471.0
23,MAX ,M,04/01/2004,papillon,Queens,11427.0
24,SHEA,F,01/01/2008,dandie_dinmont,Bronx,10464.0
25,MEEZY,M,08/01/2009,pembroke,Bronx,10473.0
26,ROCCO,M,01/01/2007,cardigan,BROOKLYN,11209.0
27,ERNIE ,M,01/01/2005,english_springer,Manhattan,10017.0
28,MILO,M,06/01/2014,boxer,Queens,11421.0
29,DALLAS,F,05/01/2014,golden_retriever,Queens,11105.0
30,RICARDO,M,07/01/2007,staffordshire_bullterrier,Manhattan,10009.0
31,FINN,M,05/01/2009,maltese_dog,Bronx,10463.0
32,RUFUS ,M,06/01/2015,great_pyrenees,Brooklyn,11237.0
33,BET,F,04/01/2014,kuvasz,Queens,11374.0
34,LEO,M,09/01/2013,great_pyrenees,Queens,11379.0
35,SID,M,08/01/2011,otterhound,Queens,11375.0
36,MAX,M,07/01/2010,irish_setter,Queens,11377.0
37,BEAU,M,01/01/2008,bloodhound,Manhattan,10065.0
38,BEAR,M,07/01/2010,italian_greyhound,Bronx,10465.0
39,SUNSHINE ,F,01/01/2000,collie,Bronx,10457.0
40,BOY,F,09/01/2015,chihuahua,Brooklyn,11209.0
41,MEL ,M,12/01/2002,scottish_deerhound,Brooklyn,11235.0
42,TUX ,M,01/01/2005,scottish_deerhound,Bronx,10461.0
43,ROSE,F,10/01/2011,giant_schnauzer,Queens,11101.0
44,NINA ,F,01/01/2004,old_english_sheepdog,Brooklyn,11230.0
45,SACHI,F,10/01/2006,norwegian_elkhound,Queens,11385.0
46,NIKO,M,10/01/2013,black-and-tan_coonhound,Queens,11357.0
47,GOGO,F,04/01/2008,borzoi,Manhattan,10003.0
48,KAI,M,09/01/2007,dandie_dinmont,Bronx,10456.0
49,MAX ,M,01/01/2004,doberman,Bronx,10473.0
50,CUPIA,M,01/01/2007,whippet,Queens,11105.0
51,MITTENS,F,12/01/2010,weimaraner,Manhattan,10065.0
52,OLIVER ,M,03/01/2010,basenji,Manhattan,10035.0
53,SALLY,F,09/01/2008,irish_wolfhound,Manhattan,10003.0
54,FENDI ,F,09/01/2009,eskimo_dog,Brooklyn,11224.0
55,MAGGIE,F,11/01/2007,chow,Queens,11378.0
56,GULL ,F,09/01/2005,ibizan_hound,Brooklyn,11229.0
57,ZEUS,M,01/01/2011,schipperke,Brooklyn,11230.0
58,DU ,M,02/01/2010,borzoi,Queens,11375.0
