,Unnamed: 0,names,quantity,names_encoded,predicted_quantity
0,0.0,LUNA,143,3347,
1,1.0,CHARLIE,116,1073,
2,2.0,BELLA,85,468,
3,3.0,SHADOW,85,5374,
4,4.0,LUCY,79,3325,
5,5.0,COCO,72,1287,
6,6.0,LEO,72,3134,
7,7.0,MOLLY,68,3924,
8,8.0,SMOKEY,64,5548,
9,9.0,DAISY,60,1427,
10,10.0,LILY,60,3206,
11,11.0,OLIVER,60,4385,
12,12.0,TIGER,60,6016,
13,13.0,MAX,59,3591,
14,14.0,SIMBA,59,5482,
15,15.0,JACK,57,2544,
16,16.0,CLEO,55,1264,
17,17.0,BUDDY,54,810,
18,18.0,MILO,54,3769,
19,19.0,OREO,54,4418,
20,20.0,LUCKY,53,3321,
21,21.0,PEPPER,52,4580,
22,22.0,GINGER,49,2149,
23,23.0,LOLA,49,3269,
24,24.0,FELIX,48,1858,
25,25.0,TIGGER,47,6026,
26,26.0,MISTY,45,3862,
27,27.0,PRINCESS,45,4825,
28,28.0,MIA,44,3700,
29,29.0,ROSIE,43,5119,
30,30.0,MINNIE,42,3805,
31,31.0,BABY,41,319,
32,32.0,GEORGE,41,2102,
33,33.0,KITTY,41,2948,
34,34.0,OSCAR,41,4429,
35,35.0,SAM,41,5229,
36,36.0,SIMON,40,5487,
37,37.0,CHLOE,39,1160,
38,38.0,LOKI,38,3267,
39,39.0,PUMPKIN,38,4855,
40,40.0,SOPHIE,38,5635,
41,41.0,TOBY,38,6106,
42,42.0,FLUFFY,37,1950,
43,43.0,STELLA,36,5735,
44,44.0,WILLOW,36,6437,
45,45.0,BOOTS,35,716,
46,46.0,GRACIE,35,2205,
47,47.0,NALA,34,4160,
48,48.0,MAGGIE,33,3415,
49,49.0,MIDNIGHT,33,3727,
50,50.0,COOKIE,32,1322,
51,51.0,MISSY,32,3855,
52,52.0,CALLIE,31,897,
53,53.0,MIMI,31,3776,
54,54.0,ANGEL,30,150,
55,55.0,KIKI,30,2883,
56,56.0,LULU,30,3341,
57,57.0,SMUDGE,30,5558,
58,58.0,TOMMY,30,6130,
59,59.0,PATCHES,29,4522,
60,60.0,RUBY,29,5148,
61,61.0,SADIE,29,5201,
62,62.0,JASPER,28,2590,
63,63.0,TEDDY,27,5929,
64,64.0,ZOE,27,6578,
65,65.0,BOO,26,697,
66,66.0,PENNY,26,4572,
67,67.0,ARCHIE,25,202,
68,68.0,OLLIE,25,4395,
69,69.0,CHESTER,24,1118,
70,70.0,FRANKIE,24,1980,
71,71.0,GARFIELD,24,2075,
72,72.0,MITTENS,24,3876,
73,73.0,OLIVE,24,4384,
74,74.0,PENELOPE,24,4569,
75,75.0,PRINCE,24,4821,
76,76.0,ROCKY,24,5068,
77,77.0,GIZMO,23,2169,
78,78.0,HENRY,23,2377,
79,79.0,JOEY,23,2684,
80,80.0,MILLIE,23,3767,
81,81.0,MONTY,23,3951,
82,82.0,POPPY,23,4779,
83,83.0,SALEM,23,5220,
84,84.0,SAMMY,23,5242,
85,85.0,SYLVESTER,23,5839,
86,86.0,GIGI,22,2136,
87,87.0,PIPER,22,4688,
88,88.0,ASH,21,234,
89,89.0,BEAR,21,429,
90,90.0,MUFFIN,21,4084,
91,91.0,WINSTON,21,6452,
92,92.0,BLACKIE,20,620,
93,93.0,BLUE,20,647,
94,94.0,MOCHA,20,3902,
95,95.0,PEACHES,20,4544,
96,96.0,PRECIOUS,20,4811,
97,97.0,SUGAR,20,5776,
98,98.0,ABBY,19,10,
99,99.0,AMBER,19,118,
100,100.0,BANDIT,19,365,
101,101.0,CALI,19,888,
102,102.0,EMMA,19,1756,
103,103.0,HARRY,19,2334,
104,104.0,HOLLY,19,2426,
105,105.0,MOMO,19,3932,
106,106.0,PHOEBE,19,4642,
107,107.0,SASHA,19,5273,
108,108.0,ATHENA,18,252,
109,109.0,HAZEL,18,2353,
110,110.0,MOCHI,18,3903,
111,111.0,ZEUS,18,6554,
112,112.0,ZIGGY,18,6559,
113,113.0,ALICE,17,83,
114,114.0,BELLE,17,475,
115,115.0,BUSTER,17,844,
116,116.0,DUSTY,17,1663,
117,117.0,HARLEY,17,2324,
118,118.0,IVY,17,2530,
119,119.0,JACKSON,17,2551,
120,120.0,MANGO,17,3474,
121,121.0,MARLEY,17,3526,
122,122.0,PEANUT,17,4547,
123,123.0,PERCY,17,4596,
124,124.0,RUSTY,17,5176,
125,125.0,THEO,17,5980,
126,126.0,TOM,17,6124,
127,127.0,BAILEY,16,346,
128,128.0,BILLY,16,561,
129,129.0,BOB,16,658,
130,130.0,CHARLOTTE,16,1081,
131,131.0,CRICKET,16,1381,
132,132.0,DEXTER,16,1527,
133,133.0,HONEY,16,2431,
134,134.0,KIWI,16,2961,
135,135.0,LILLY,16,3202,
136,136.0,MAYA,16,3605,
137,137.0,MISHA,16,3826,
138,138.0,PANDA,16,4479,
139,139.0,ROMEO,16,5086,
140,140.0,STORM,16,5753,
141,141.0,SUSHI,16,5807,
142,142.0,WHISKEY,16,6401,
143,143.0,BUBBLES,15,799,
144,144.0,FINN,15,1899,
145,145.0,GUS,15,2272,
146,146.0,JASMINE,15,2587,
147,147.0,LADY,15,3047,
148,148.0,MICKEY,15,3720,
149,149.0,ROXY,15,5139,
150,150.0,TABITHA,15,5854,
151,151.0,WINNIE,15,6450,
152,152.0,ZOEY,15,6580,
153,153.0,ARTEMIS,14,224,
154,154.0,BONNIE,14,691,
155,155.0,BOWIE,14,734,
156,156.0,BRUCE,14,787,
157,157.0,BUTTERCUP,14,853,
158,158.0,CALVIN,14,902,
159,159.0,CASPER,14,981,
160,160.0,CHICO,14,1137,
161,161.0,CINNAMON,14,1233,
162,162.0,CLEMENTINE,14,1263,
163,163.0,ELLIE,14,1729,
164,164.0,FINNEGAN,14,1900,
165,165.0,IZZY,14,2533,
166,166.0,JERRY,14,2634,
167,167.0,MAPLE,14,3487,
